[id][capacity][residents][workers_general][workers_medical][chc_needs][outbreak_key]
[53][0][15][ 1,20,1; 1,69,1; 1,82,1; 1,70,1; 2,82,1; 2,70,1; 2,80,1; 2,28,1; 3,70,1; 3,80,1; 3,61,1; 3,65,1; 4,70,1; 4,69,1; 4,28,1; 4,31,1; 5,51,1; 5,38,1; 5,69,1; 5,31,1; 6,69,1; 6,51,1; 6,63,1; 6,30,1; 7,82,1; 7,80,1; 7,70,1; 7,30,1; ][ 1,9,1; 2,12,1; 3,23,1; 4,7,1; 5,7,1; 6,33,1; 7,33,1; ][1][xxxx]
[54][0][70][ 1,37,1; 1,58,1; 1,46,1; 1,63,1; 2,63,1; 2,46,1; 2,59,1; 2,35,1; 3,35,1; 3,3,1; 3,13,1; 3,38,1; 4,38,1; 4,59,1; 4,13,1; 4,18,1; 5,18,1; 5,38,1; 5,13,1; 5,59,1; 6,18,1; 6,35,1; 6,12,1; 6,41,1; 7,41,1; 7,37,1; 7,20,1; 7,49,1; ][ 1,14,1; 2,8,1; 3,11,1; 4,8,1; 5,8,1; 6,35,1; 7,35,1; ][1][xxxx]
[55][0][78][ 1,42,1; 1,49,1; 1,59,1; 1,7,1; 2,49,1; 2,7,1; 2,3,1; 2,11,1; 3,11,1; 3,10,1; 3,71,1; 3,75,1; 4,42,1; 4,10,1; 4,75,1; 4,71,1; 5,11,1; 5,42,1; 5,24,1; 5,36,1; 6,42,1; 6,24,1; 6,36,1; 6,49,1; 7,5,1; 7,78,1; 7,34,1; 7,53,1; ][ 1,2,1; 2,23,1; 3,18,1; 4,33,1; 5,33,1; 6,18,1; 7,18,1; ][1][xxxx]
[56][0][42][ 1,43,1; 1,35,1; 1,52,1; 1,80,1; 2,43,1; 2,15,1; 2,54,1; 2,76,1; 3,66,1; 3,62,1; 3,68,1; 3,48,1; 4,48,1; 4,62,1; 4,52,1; 4,68,1; 5,48,1; 5,68,1; 5,52,1; 5,33,1; 6,52,1; 6,33,1; 6,68,1; 6,79,1; 7,79,1; 7,68,1; 7,52,1; 7,45,1; ][ 1,22,1; 2,22,1; 3,22,1; 4,15,1; 5,19,1; 6,26,1; 7,19,1; ][1][xxxx]
[57][0][60][ 1,30,1; 1,39,1; 1,57,1; 1,53,1; 2,53,1; 2,57,1; 2,60,1; 2,40,1; 3,55,1; 3,83,1; 3,29,1; 3,72,1; 4,29,1; 4,39,1; 4,36,1; 4,2,1; 5,2,1; 5,29,1; 5,39,1; 5,5,1; 6,57,1; 6,5,1; 6,39,1; 6,53,1; 7,40,1; 7,47,1; 7,6,1; 7,50,1; ][ 1,11,1; 2,11,1; 3,30,1; 4,26,1; 5,26,1; 6,26,1; 7,17,1; ][1][xxxx]
[58][0][19][ 1,24,1; 1,54,1; 1,22,1; 1,11,1; 2,19,1; 2,25,1; 2,1,1; 2,71,1; 3,25,1; 3,11,1; 3,71,1; 3,55,1; 4,67,1; 4,4,1; 4,32,1; 4,71,1; 5,32,1; 5,4,1; 5,17,1; 5,81,1; 6,32,1; 6,74,1; 6,6,1; 6,26,1; 7,26,1; 7,22,1; 7,1,1; 7,19,1; ][ 1,4,1; 2,4,1; 3,26,1; 4,6,1; 5,6,1; 6,19,1; 7,4,1; ][1][xxxx]
[59][0][16][ 1,41,1; 1,19,1; 1,13,1; 1,78,1; 2,41,1; 2,13,1; 2,72,1; 2,36,1; 3,41,1; 3,72,1; 3,36,1; 3,13,1; 4,36,1; 4,13,1; 4,60,1; 4,68,1; 5,63,1; 5,84,1; 5,34,1; 5,9,1; 6,9,1; 6,34,1; 6,47,1; 6,50,1; 7,8,1; 7,64,1; 7,78,1; 7,50,1; ][ 1,18,1; 2,18,1; 3,5,1; 4,5,1; 5,5,1; 6,18,1; 7,9,1; ][1][xxxx]
[60][0][58][ 1,55,1; 1,47,1; 1,64,1; 1,40,1; 2,64,1; 2,55,1; 2,73,1; 2,61,1; 3,61,1; 3,40,1; 3,73,1; 3,38,1; 4,38,1; 4,40,1; 4,62,1; 4,70,1; 5,23,1; 5,16,1; 5,77,1; 5,51,1; 6,45,1; 6,8,1; 6,51,1; 6,23,1; 7,45,1; 7,70,1; 7,40,1; 7,8,1; ][ 1,16,1; 2,26,1; 3,7,1; 4,27,1; 5,27,1; 6,32,1; 7,20,1; ][1][xxxx]
[61][0][66][ 1,66,1; 1,76,1; 1,45,1; 1,1,1; 2,66,1; 2,67,1; 2,56,1; 2,83,1; 3,56,1; 3,67,1; 3,83,1; 3,66,1; 4,67,1; 4,48,1; 4,11,1; 4,77,1; 5,48,1; 5,77,1; 5,11,1; 5,13,1; 6,45,1; 6,18,1; 6,24,1; 6,47,1; 7,1,1; 7,24,1; 7,47,1; 7,22,1; ][ 1,29,1; 2,29,1; 3,18,1; 4,31,1; 5,31,1; 6,1,1; 7,1,1; ][1][xxxx]
[62][0][22][ 1,15,1; 1,6,1; 1,54,1; 1,13,1; 2,75,1; 2,14,1; 2,54,1; 2,15,1; 3,75,1; 3,14,1; 3,35,1; 3,53,1; 4,75,1; 4,69,1; 4,4,1; 4,18,1; 5,69,1; 5,18,1; 5,4,1; 5,68,1; 6,68,1; 6,53,1; 6,35,1; 6,69,1; 7,6,1; 7,68,1; 7,53,1; 7,69,1; ][ 1,16,1; 2,16,1; 3,16,1; 4,7,1; 5,24,1; 6,24,1; 7,34,1; ][1][xxxx]
[63][0][48][ 1,21,1; 1,45,1; 1,11,1; 1,40,1; 2,40,1; 2,21,1; 2,11,1; 2,73,1; 3,21,1; 3,65,1; 3,29,1; 3,3,1; 4,21,1; 4,65,1; 4,29,1; 4,16,1; 5,29,1; 5,16,1; 5,23,1; 5,42,1; 6,42,1; 6,50,1; 6,17,1; 6,6,1; 7,17,1; 7,21,1; 7,42,1; 7,57,1; ][ 1,2,1; 2,2,1; 3,31,1; 4,3,1; 5,3,1; 6,3,1; 7,36,1; ][1][xxxx]
[64][0][35][ 1,47,1; 1,37,1; 1,52,1; 1,49,1; 2,49,1; 2,71,1; 2,14,1; 2,57,1; 3,49,1; 3,57,1; 3,80,1; 3,60,1; 4,52,1; 4,80,1; 4,59,1; 4,32,1; 5,52,1; 5,59,1; 5,32,1; 5,38,1; 6,52,1; 6,49,1; 6,57,1; 6,32,1; 7,49,1; 7,52,1; 7,37,1; 7,80,1; ][ 1,17,1; 2,17,1; 3,14,1; 4,14,1; 5,17,1; 6,17,1; 7,17,1; ][1][xxxx]
[65][0][30][ 1,41,1; 1,59,1; 1,58,1; 1,63,1; 2,63,1; 2,41,1; 2,59,1; 2,28,1; 3,28,1; 3,59,1; 3,62,1; 3,70,1; 4,28,1; 4,27,1; 4,24,1; 4,2,1; 5,24,1; 5,63,1; 5,2,1; 5,84,1; 6,41,1; 6,63,1; 6,84,1; 6,12,1; 7,63,1; 7,58,1; 7,41,1; 7,12,1; ][ 1,22,1; 2,22,1; 3,22,1; 4,26,1; 5,20,1; 6,20,1; 7,20,1; ][1][xxxx]
[66][0][46][ 1,46,1; 1,30,1; 1,55,1; 1,80,1; 2,55,1; 2,80,1; 2,46,1; 2,1,1; 3,77,1; 3,68,1; 3,44,1; 3,48,1; 4,31,1; 4,42,1; 4,10,1; 4,39,1; 5,39,1; 5,31,1; 5,17,1; 5,33,1; 6,33,1; 6,30,1; 6,39,1; 6,9,1; 7,9,1; 7,30,1; 7,39,1; 7,26,1; ][ 1,31,1; 2,31,1; 3,11,1; 4,6,1; 5,1,1; 6,8,1; 7,28,1; ][1][xxxx]
[67][0][1][ 1,44,1; 1,82,1; 1,35,1; 1,64,1; 2,44,1; 2,35,1; 2,82,1; 2,64,1; 3,27,1; 3,10,1; 3,44,1; 3,35,1; 4,10,1; 4,27,1; 4,36,1; 4,28,1; 5,36,1; 5,81,1; 5,34,1; 5,9,1; 6,81,1; 6,36,1; 6,34,1; 6,79,1; 7,35,1; 7,64,1; 7,34,1; 7,82,1; ][ 1,36,1; 2,36,1; 3,7,1; 4,27,1; 5,21,1; 6,33,1; 7,33,1; ][1][xxxx]
[68][0][45][ 1,1,1; 1,66,1; 1,39,1; 1,6,1; 2,66,1; 2,36,1; 2,60,1; 2,56,1; 3,36,1; 3,60,1; 3,66,1; 3,56,1; 4,60,1; 4,39,1; 4,29,1; 4,68,1; 5,5,1; 5,51,1; 5,29,1; 5,39,1; 6,5,1; 6,74,1; 6,26,1; 6,8,1; 7,5,1; 7,74,1; 7,19,1; 7,20,1; ][ 1,4,1; 2,4,1; 3,21,1; 4,21,1; 5,32,1; 6,35,1; 7,4,1; ][1][xxxx]
[69][0][61][ 1,20,1; 1,43,1; 1,69,1; 1,7,1; 2,43,1; 2,7,1; 2,53,1; 2,75,1; 3,75,1; 3,53,1; 3,65,1; 3,59,1; 4,75,1; 4,59,1; 4,65,1; 4,69,1; 5,69,1; 5,59,1; 5,2,1; 5,32,1; 6,53,1; 6,69,1; 6,32,1; 6,45,1; 7,79,1; 7,45,1; 7,20,1; 7,69,1; ][ 1,9,1; 2,25,1; 3,26,1; 4,5,1; 5,26,1; 6,34,1; 7,9,1; ][1][xxxx]
[70][0][88][ 1,53,1; 1,76,1; 1,42,1; 1,78,1; 2,76,1; 2,17,1; 2,67,1; 2,83,1; 3,83,1; 3,67,1; 3,27,1; 3,48,1; 4,42,1; 4,48,1; 4,67,1; 4,62,1; 5,48,1; 5,17,1; 5,42,1; 5,68,1; 6,17,1; 6,42,1; 6,68,1; 6,6,1; 7,6,1; 7,17,1; 7,53,1; 7,42,1; ][ 1,18,1; 2,18,1; 3,30,1; 4,15,1; 5,6,1; 6,10,1; 7,18,1; ][1][xxxx]
[71][0][68][ 1,15,1; 1,19,1; 1,70,1; 1,57,1; 2,19,1; 2,70,1; 2,3,1; 2,61,1; 3,70,1; 3,57,1; 3,61,1; 3,3,1; 4,70,1; 4,40,1; 4,4,1; 4,18,1; 5,18,1; 5,4,1; 5,31,1; 5,24,1; 6,57,1; 6,18,1; 6,24,1; 6,79,1; 7,79,1; 7,40,1; 7,57,1; 7,70,1; ][ 1,28,1; 2,37,1; 3,5,1; 4,8,1; 5,5,1; 6,8,1; 7,32,1; ][1][xxxx]
[72][0][11][ 1,24,1; 1,22,1; 1,17,1; 1,15,1; 2,13,1; 2,72,1; 2,25,1; 2,17,1; 3,25,1; 3,72,1; 3,13,1; 3,28,1; 4,24,1; 4,13,1; 4,2,1; 4,38,1; 5,38,1; 5,13,1; 5,63,1; 5,51,1; 6,63,1; 6,51,1; 6,81,1; 6,49,1; 7,49,1; 7,63,1; 7,24,1; 7,22,1; ][ 1,25,1; 2,13,1; 3,8,1; 4,33,1; 5,8,1; 6,33,1; 7,13,1; ][1][xxxx]
[73][0][76][ 1,7,1; 1,11,1; 1,1,1; 1,80,1; 2,11,1; 2,7,1; 2,80,1; 2,1,1; 3,11,1; 3,80,1; 3,40,1; 3,73,1; 4,80,1; 4,11,1; 4,32,1; 4,71,1; 5,11,1; 5,36,1; 5,33,1; 5,16,1; 6,36,1; 6,33,1; 6,50,1; 6,30,1; 7,50,1; 7,1,1; 7,80,1; 7,30,1; ][ 1,21,1; 2,21,1; 3,12,1; 4,21,1; 5,21,1; 6,1,1; 7,35,1; ][1][xxxx]
[74][0][43][ 1,19,1; 1,66,1; 1,55,1; 1,45,1; 2,55,1; 2,66,1; 2,19,1; 2,60,1; 3,55,1; 3,21,1; 3,62,1; 3,49,1; 4,21,1; 4,16,1; 4,77,1; 4,31,1; 5,77,1; 5,23,1; 5,9,1; 5,81,1; 6,9,1; 6,23,1; 6,5,1; 6,34,1; 7,21,1; 7,5,1; 7,9,1; 7,34,1; ][ 1,37,1; 2,12,1; 3,23,1; 4,5,1; 5,19,1; 6,19,1; 7,19,1; ][1][xxxx]
[75][0][4][ 1,40,1; 1,39,1; 1,30,1; 1,76,1; 2,40,1; 2,76,1; 2,73,1; 2,63,1; 3,38,1; 3,10,1; 3,71,1; 3,29,1; 4,52,1; 4,29,1; 4,10,1; 4,40,1; 5,52,1; 5,84,1; 5,5,1; 5,34,1; 6,52,1; 6,84,1; 6,39,1; 6,26,1; 7,39,1; 7,26,1; 7,52,1; 7,47,1; ][ 1,33,1; 2,23,1; 3,15,1; 4,15,1; 5,33,1; 6,26,1; 7,10,1; ][1][xxxx]
[76][0][79][ 1,58,1; 1,6,1; 1,44,1; 1,37,1; 2,44,1; 2,21,1; 2,56,1; 2,75,1; 3,41,1; 3,68,1; 3,77,1; 3,14,1; 4,21,1; 4,68,1; 4,77,1; 4,75,1; 5,77,1; 5,68,1; 5,2,1; 5,17,1; 6,41,1; 6,47,1; 6,35,1; 6,74,1; 7,58,1; 7,41,1; 7,68,1; 7,37,1; ][ 1,11,1; 2,11,1; 3,11,1; 4,31,1; 5,31,1; 6,10,1; 7,10,1; ][1][xxxx]
[77][0][57][ 1,13,1; 1,70,1; 1,59,1; 1,41,1; 2,13,1; 2,70,1; 2,41,1; 2,59,1; 3,70,1; 3,41,1; 3,59,1; 3,13,1; 4,13,1; 4,59,1; 4,70,1; 4,69,1; 5,69,1; 5,13,1; 5,59,1; 5,36,1; 6,12,1; 6,8,1; 6,36,1; 6,69,1; 7,8,1; 7,12,1; 7,82,1; 7,78,1; ][ 1,13,1; 2,14,1; 3,14,1; 4,14,1; 5,14,1; 6,3,1; 7,13,1; ][1][xxxx]
[78][0][37][ 1,63,1; 1,42,1; 1,35,1; 1,78,1; 2,35,1; 2,82,1; 2,3,1; 2,46,1; 3,3,1; 3,35,1; 3,38,1; 3,80,1; 4,42,1; 4,38,1; 4,80,1; 4,18,1; 5,42,1; 5,38,1; 5,18,1; 5,63,1; 6,63,1; 6,42,1; 6,35,1; 6,18,1; 7,35,1; 7,64,1; 7,74,1; 7,19,1; ][ 1,30,1; 2,30,1; 3,30,1; 4,6,1; 5,17,1; 6,17,1; 7,17,1; ][1][xxxx]
[79][0][49][ 1,82,1; 1,47,1; 1,69,1; 1,57,1; 2,57,1; 2,61,1; 2,25,1; 2,83,1; 3,61,1; 3,83,1; 3,57,1; 3,25,1; 4,27,1; 4,11,1; 4,24,1; 4,36,1; 5,24,1; 5,11,1; 5,39,1; 5,4,1; 6,39,1; 6,57,1; 6,47,1; 6,24,1; 7,82,1; 7,24,1; 7,57,1; 7,39,1; ][ 1,14,1; 2,26,1; 3,26,1; 4,26,1; 5,27,1; 6,34,1; 7,34,1; ][1][xxxx]
[80][0][29][ 1,46,1; 1,24,1; 1,53,1; 1,43,1; 2,43,1; 2,53,1; 2,64,1; 2,28,1; 3,53,1; 3,28,1; 3,72,1; 3,66,1; 4,28,1; 4,48,1; 4,52,1; 4,71,1; 5,48,1; 5,52,1; 5,32,1; 5,84,1; 6,52,1; 6,53,1; 6,84,1; 6,32,1; 7,53,1; 7,64,1; 7,52,1; 7,20,1; ][ 1,34,1; 2,8,1; 3,8,1; 4,8,1; 5,7,1; 6,24,1; 7,20,1; ][1][xxxx]
[81][0][12][ 1,49,1; 1,64,1; 1,52,1; 1,20,1; 2,49,1; 2,54,1; 2,36,1; 2,71,1; 3,36,1; 3,49,1; 3,71,1; 3,21,1; 4,4,1; 4,62,1; 4,65,1; 4,39,1; 5,29,1; 5,23,1; 5,51,1; 5,81,1; 6,81,1; 6,49,1; 6,51,1; 6,23,1; 7,21,1; 7,49,1; 7,58,1; 7,1,1; ][ 1,11,1; 2,11,1; 3,21,1; 4,33,1; 5,20,1; 6,20,1; 7,33,1; ][1][xxxx]
[82][0][28][ 1,17,1; 1,22,1; 1,54,1; 1,21,1; 2,67,1; 2,72,1; 2,15,1; 2,14,1; 3,14,1; 3,67,1; 3,55,1; 3,60,1; 4,60,1; 4,67,1; 4,32,1; 4,31,1; 5,31,1; 5,9,1; 5,34,1; 5,5,1; 6,17,1; 6,9,1; 6,5,1; 6,34,1; 7,17,1; 7,9,1; 7,22,1; 7,34,1; ][ 1,22,1; 2,22,1; 3,22,1; 4,7,1; 5,32,1; 6,32,1; 7,32,1; ][1][xxxx]
[83][0][5][ 1,19,1; 1,69,1; 1,80,1; 1,78,1; 2,19,1; 2,80,1; 2,57,1; 2,83,1; 3,62,1; 3,75,1; 3,40,1; 3,44,1; 4,16,1; 4,2,1; 4,80,1; 4,62,1; 5,16,1; 5,33,1; 5,69,1; 5,2,1; 6,33,1; 6,74,1; 6,50,1; 6,26,1; 7,40,1; 7,26,1; 7,69,1; 7,50,1; ][ 1,36,1; 2,36,1; 3,7,1; 4,27,1; 5,1,1; 6,35,1; 7,36,1; ][1][xxxx]
[84][0][56][ 1,6,1; 1,11,1; 1,1,1; 1,37,1; 2,1,1; 2,11,1; 2,73,1; 2,56,1; 3,73,1; 3,56,1; 3,11,1; 3,48,1; 4,48,1; 4,11,1; 4,29,1; 4,77,1; 5,29,1; 5,11,1; 5,77,1; 5,48,1; 6,6,1; 6,12,1; 6,79,1; 6,45,1; 7,6,1; 7,37,1; 7,79,1; 7,12,1; ][ 1,4,1; 2,4,1; 3,23,1; 4,3,1; 5,3,1; 6,18,1; 7,18,1; ][1][xxxx]
[85][0][53][ 1,13,1; 1,39,1; 1,42,1; 1,76,1; 2,76,1; 2,13,1; 2,61,1; 2,75,1; 3,65,1; 3,10,1; 3,27,1; 3,68,1; 4,68,1; 4,13,1; 4,65,1; 4,75,1; 5,68,1; 5,42,1; 5,13,1; 5,39,1; 6,68,1; 6,41,1; 6,8,1; 6,30,1; 7,42,1; 7,68,1; 7,8,1; 7,41,1; ][ 1,16,1; 2,16,1; 3,16,1; 4,15,1; 5,24,1; 6,24,1; 7,19,1; ][1][xxxx]
[86][0][27][ 1,45,1; 1,30,1; 1,47,1; 1,54,1; 2,54,1; 2,21,1; 2,66,1; 2,82,1; 3,77,1; 3,29,1; 3,21,1; 3,66,1; 4,21,1; 4,70,1; 4,18,1; 4,36,1; 5,36,1; 5,18,1; 5,63,1; 5,59,1; 6,47,1; 6,18,1; 6,63,1; 6,36,1; 7,70,1; 7,63,1; 7,45,1; 7,47,1; ][ 1,14,1; 2,14,1; 3,5,1; 4,5,1; 5,14,1; 6,17,1; 7,9,1; ][1][xxxx]
[87][0][73][ 1,17,1; 1,59,1; 1,64,1; 1,63,1; 2,17,1; 2,59,1; 2,63,1; 2,64,1; 3,59,1; 3,14,1; 3,36,1; 3,3,1; 4,59,1; 4,60,1; 4,40,1; 4,38,1; 5,38,1; 5,17,1; 5,33,1; 5,52,1; 6,33,1; 6,17,1; 6,52,1; 6,74,1; 7,74,1; 7,5,1; 7,19,1; 7,30,1; ][ 1,37,1; 2,37,1; 3,12,1; 4,21,1; 5,21,1; 6,10,1; 7,1,1; ][1][xxxx]
[88][0][86][ 1,66,1; 1,40,1; 1,43,1; 1,15,1; 2,40,1; 2,15,1; 2,43,1; 2,70,1; 3,70,1; 3,40,1; 3,48,1; 3,10,1; 4,10,1; 4,42,1; 4,24,1; 4,2,1; 5,24,1; 5,32,1; 5,9,1; 5,51,1; 6,9,1; 6,51,1; 6,32,1; 6,42,1; 7,35,1; 7,80,1; 7,78,1; 7,9,1; ][ 1,25,1; 2,25,1; 3,31,1; 4,31,1; 5,31,1; 6,26,1; 7,4,1; ][1][xxxx]
